Index,Type
7.0.2,Oil Refining&Marketing
7.0.3,Oil&Gas Drilling
7.0.4,Oil-US Royalty Trusts
7.1,Oil&Gas Services
7.1.0,Oil Field Mach&Equip
7.1.1,Oil-Field Services
7.1.2,Seismic Data Collection
7.2,Energy-Alternate Sources
7.2.0,Energy-Alternate Sources
7.3,Pipelines
7.3.0,Pipelines
7.4,Coal
7.4.0,Coal
8,Basic Materials
8.0,Mining
8.0.0,Diversified Minerals
8.0.1,Metal-Diversified
8.0.2,Precious Metals
8.0.3,Gold Mining
8.0.4,Non-Ferrous Metals
8.0.5,Metal-Copper
8.0.6,Diamonds/Precious Stones
8.0.7,Mining Services
8.0.8,Metal-Aluminum
8.0.9,Silver Mining
8.0.10,Platinum
8.0.11,Quarrying
8.1,Forest Products&Paper
8.1.0,Paper&Related Products
8.1.1,Forestry
8.2,Chemicals
8.2.0,Chemicals-Diversified
8.2.1,Chemicals-Specialty
8.2.2,Industrial Gases
8.2.3,Chemicals-Other
8.2.4,Agricultural Chemicals
8.2.5,Coatings/Paint
8.2.6,Chemicals-Fibers
8.2.7,Petrochemicals
8.2.8,Chemicals-Plastics
8.3,Iron/Steel
8.3.0,Steel-Producers
8.3.1,Metal-Iron
8.3.2,Steel-Specialty
9,Diversified
9.0,Holding Companies-Divers
9.0.0,Specified Purpose Acquis
9.0.1,Diversified Operations
10,Government
10.0,Multi-National
10.0.0,Supranational Bank
10.1,Sovereign
10.1.0,Sovereign Agency
10.2,Municipal
10.2.0,Municipal-Education
